image_name,scene,pitch,yaw,altitude,pred_error,ref_type,strategy,matching_method,inlier_count,retrieval_time,match_time,pnp_time,total_time
DJI_20240917112346_0389_D.JPG,QZ_Town,-45.2,-151.5,81.5,6.834152374412746,HIGH,TopN_Re-rank,RoMa,256,0.013521481163894074,"[0.7975587844848633, 0.6951701641082764, 0.7508196830749512, 0.6885237693786621, 0.7305445671081543]","[0.008999347686767578, 0.010001659393310547, 0.009997129440307617, 0.009546279907226562, 0.009003877639770508]",5.09836220741272
DJI_20240917112349_0390_D.JPG,QZ_Town,-45.2,-164.1,81.5,1156.6508036967687,HIGH,TopN_Re-rank,RoMa,93,0.013650826918773161,"[0.6317269802093506, 0.7179481983184814, 0.7336854934692383, 0.7509241104125977, 0.9026219844818115]","[0.01299905776977539, 0.008997678756713867, 0.010000467300415039, 0.009001493453979492, 0.010949134826660156]",5.163686513900757
DJI_20240917112350_0391_D.JPG,QZ_Town,-45.2,-164.1,81.5,4797.750832665781,HIGH,TopN_Re-rank,RoMa,54,0.013575199322822766,"[0.7106237411499023, 0.6644864082336426, 0.6470000743865967, 0.7055091857910156, 0.7808313369750977]","[0.008997678756713867, 0.010998010635375977, 0.012001752853393555, 0.011002540588378906, 0.010999917984008789]",4.928631067276001
DJI_20240917112353_0392_D.JPG,QZ_Town,-45.2,-173.1,81.5,3.563905309657588,HIGH,TopN_Re-rank,RoMa,364,0.013567895679683476,"[0.7862441539764404, 0.6833624839782715, 0.626319408416748, 0.821199893951416, 0.7343645095825195]","[0.012999534606933594, 0.01300048828125, 0.011002302169799805, 0.009997844696044922, 0.011006832122802734]",5.244198322296143
DJI_20240917112441_0393_D.JPG,QZ_Town,-46.8,-179.4,106.8,7.539654119999815,HIGH,TopN_Re-rank,RoMa,319,0.014144243732575447,"[0.692751407623291, 0.6315150260925293, 0.7648732662200928, 0.6448915004730225, 0.7712173461914062]","[0.011000871658325195, 0.01100015640258789, 0.009999275207519531, 0.010996341705322266, 0.011035919189453125]",4.780975103378296
DJI_20240917112445_0394_D.JPG,QZ_Town,-46.8,-179.2,106.7,9.946695067924303,HIGH,TopN_Re-rank,RoMa,201,0.014224075501964938,"[0.6306517124176025, 0.7046644687652588, 0.6977055072784424, 0.6751961708068848, 0.674527645111084]","[0.012000799179077148, 0.008997917175292969, 0.009000301361083984, 0.008997917175292969, 0.009999275207519531]",4.640750169754028
DJI_20240917112447_0395_D.JPG,QZ_Town,-46.8,176.0,106.7,9.807134024492075,HIGH,TopN_Re-rank,RoMa,205,0.014527197541861698,"[0.6416170597076416, 1.0061538219451904, 0.7017574310302734, 0.7010259628295898, 0.6704609394073486]","[0.01000070571899414, 0.009522199630737305, 0.010515213012695312, 0.009998559951782227, 0.009999990463256836]",4.93276047706604
DJI_20240917112450_0396_D.JPG,QZ_Town,-63.4,175.3,106.7,2.065552167916406,HIGH,TopN_Re-rank,RoMa,206,0.013477202022776883,"[0.8102219104766846, 0.7534794807434082, 0.7056365013122559, 0.6275992393493652, 0.6212143898010254]","[0.012999534606933594, 0.01199960708618164, 0.009998559951782227, 0.010488271713256836, 0.012999296188354492]",5.046765327453613
DJI_20240917112452_0397_D.JPG,QZ_Town,-66.3,175.3,106.7,148.6677879439581,HIGH,TopN_Re-rank,RoMa,105,0.013389490371526674,"[0.6375570297241211, 0.810631513595581, 1.0158905982971191, 0.7816104888916016, 0.620215892791748]","[0.010000228881835938, 0.009001016616821289, 0.008999347686767578, 0.008995532989501953, 0.010003089904785156]",5.367512464523315
DJI_20240917112453_0398_D.JPG,QZ_Town,-66.3,179.4,106.8,3.036141243036685,HIGH,TopN_Re-rank,RoMa,492,0.013904914259910583,"[0.7547502517700195, 0.7516896724700928, 0.7305600643157959, 0.6974952220916748, 0.7486734390258789]","[0.01400136947631836, 0.008999347686767578, 0.008999824523925781, 0.01000070571899414, 0.009997844696044922]",5.1625657081604
DJI_20240917112456_0399_D.JPG,QZ_Town,-66.3,-177.7,106.8,4.3305013025987025,HIGH,TopN_Re-rank,RoMa,1044,0.013791196948879368,"[0.6622021198272705, 0.8781435489654541, 0.6964774131774902, 0.9122591018676758, 0.7370386123657227]","[0.007999181747436523, 0.010998010635375977, 0.009998798370361328, 0.00999903678894043, 0.010001420974731445]",5.510268449783325
DJI_20240917112458_0400_D.JPG,QZ_Town,-66.3,-177.7,106.7,4.93872807858069,HIGH,TopN_Re-rank,RoMa,877,0.0142321534209199,"[0.9312417507171631, 0.857262134552002, 0.7571799755096436, 0.8171448707580566, 0.6696350574493408]","[0.009999990463256836, 0.008998632431030273, 0.010997772216796875, 0.010998249053955078, 0.010997772216796875]",5.723099231719971
DJI_20240917112501_0401_D.JPG,QZ_Town,-90.0,-177.7,106.7,1.5032284521437564,HIGH,TopN_Re-rank,RoMa,574,0.013446883721785112,"[0.6730308532714844, 0.7742643356323242, 0.7128803730010986, 0.6457276344299316, 0.6319427490234375]","[0.009999513626098633, 0.009000062942504883, 0.011000633239746094, 0.010000467300415039, 0.011002540588378906]",5.2795281410217285
DJI_20240917112503_0402_D.JPG,QZ_Town,-90.0,-177.7,107.9,1.8106283827910192,HIGH,TopN_Re-rank,RoMa,1575,0.015191347912104443,"[0.9159667491912842, 0.6780979633331299, 0.7638728618621826, 1.1579713821411133, 0.6938719749450684]","[0.015999794006347656, 0.011002302169799805, 0.016000747680664062, 0.00999903678894043, 0.012999773025512695]",6.113230466842651
DJI_20240917112505_0403_D.JPG,QZ_Town,-90.0,-177.7,111.6,2.3191521543686564,HIGH,TopN_Re-rank,RoMa,1525,0.014527372691942297,"[0.6532328128814697, 1.5537776947021484, 0.9315681457519531, 0.7120554447174072, 0.7417292594909668]","[0.02000570297241211, 0.010999202728271484, 0.007999420166015625, 0.01799917221069336, 0.011002540588378906]",6.317896366119385
